,name,price,product_url,image,rating,number_of_sales,tiki_now,freeship,under_price,discount,installment,gift,advertising,oficial or credit,tikinow_member_deal
2843,Máy xay đa năng OSAKA cao cấp 2 tầng hàng chính hãng,162000,https://tiki.vn/may-xay-da-nang-osaka-cao-cap-2-tang-hang-chinh-hang-p82525848.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.82525851&itm_medium=CPC&itm_source=tiki-reco&spid=82525851,https://salt.tikicdn.com/cache/200x200/ts/product/c4/cb/0f/e33a62a5fdacd284eae6d1342b115194.jpg,4.6000000000000005,,True,False,False,4,False,True,False,,False
2844,"Quạt Đứng Senko Có Chức Năng Hẹn Giờ Sang Trọng, Cao Cấp DH1600 - Hàng Chính Hãng",417500,https://tiki.vn/quat-dung-senko-co-chuc-nang-hen-gio-sang-trong-cao-cap-dh1600-hang-chinh-hang-p53969748.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.53969749&itm_medium=CPC&itm_source=tiki-reco&spid=53969749,https://salt.tikicdn.com/cache/200x200/ts/product/7e/68/37/2b2b67ac5085786528cfb5f7d9089af5.jpg,4.5,346,True,False,True,0,False,False,False,,False
2845,"Máy tạo độ ẩm, phun sương Deerma DEM-F628s Dung tích 5 lít ( hàng nhập khẩu )",680000,https://tiki.vn/may-tao-do-am-phun-suong-deerma-dem-f628s-dung-tich-5-lit-hang-nhap-khau-p51048647.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.51291662&itm_medium=CPC&itm_source=tiki-reco&spid=51291662,https://salt.tikicdn.com/cache/200x200/ts/product/a6/fd/45/5a2a158c1c2fc7d5e83de045028d2e86.jpg,4.6000000000000005,484,True,False,False,28,False,False,False,,False
2846,Nồi Chưng Yến Cách Thủy Bennix 1L Màu Xanh - Hàng Chính Hãng,444000,https://tiki.vn/noi-chung-yen-cach-thuy-bennix-1l-mau-xanh-hang-chinh-hang-p109576262.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.109576263&itm_medium=CPC&itm_source=tiki-reco&spid=109576263,https://salt.tikicdn.com/cache/200x200/ts/product/64/0a/53/3696e96520f4e87f7fc3b12eeb0b2371.jpg,4.6000000000000005,,True,False,True,0,False,False,False,,False
2847,Máy Vắt Cam Comet CM9920 (0.7 Lít) - Màu ngẫu nhiên - Hàng Chính Hãng,208200,https://tiki.vn/may-vat-cam-comet-cm9920-0-7-lit-mau-ngau-nhien-hang-chinh-hang-p21184863.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.21184864&itm_medium=CPC&itm_source=tiki-reco&spid=21184864,https://salt.tikicdn.com/cache/200x200/ts/product/31/e7/10/d8cf3f840e8951a25ef1a83a2f69fa4a.jpg,4.5,,True,False,False,35,False,False,False,,False
2848,Máy pha cà phê Staresso du lịch đồ cắm trại máy pha cafe cầm tay Basic campout A063,1800000,https://tiki.vn/may-pha-ca-phe-staresso-du-lich-do-cam-trai-may-pha-cafe-cam-tay-basic-campout-a063-p116807013.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.116807023&itm_medium=CPC&itm_source=tiki-reco&spid=116807023,https://salt.tikicdn.com/cache/200x200/ts/product/09/2c/74/fe3d09a30d2db39d68d23f661d2179fd.jpg,4.699999999999999,55,True,False,False,0,False,False,False,,False
2849,Máy Xay Cà Phê Tiross TS530 150W - Hàng chính hãng,519900,https://tiki.vn/may-xay-ca-phe-tiross-ts530-150w-hang-chinh-hang-p466368.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.175524&itm_medium=CPC&itm_source=tiki-reco&spid=175524,https://salt.tikicdn.com/cache/200x200/media/catalog/product/8/1/81390_ts530.jpg,4.6000000000000005,718,True,False,True,24,False,False,False,,False
2850,Bình Đun Siêu Tốc Inox Điện Tử Happy Cook HEK-171SD (1.7L) - Hàng chính hãng,399000,https://tiki.vn/binh-dun-sieu-toc-inox-dien-tu-happy-cook-hek-171sd-1-7l-hang-chinh-hang-p4372521.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.85455529&itm_medium=CPC&itm_source=tiki-reco&spid=85455529,https://salt.tikicdn.com/cache/200x200/ts/product/ee/94/f5/42d24c874f2a2604e3da829505a20438.jpg,4.8,,True,False,True,7,False,False,False,,False
2851,Máy Hút Bụi Philips FC9351 (1900W) - Đỏ - Hàng chính hãng,2699000,https://tiki.vn/may-hut-bui-philips-fc9351-1900w-do-hang-chinh-hang-p1037608.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.1065438&itm_medium=CPC&itm_source=tiki-reco&spid=1065438,https://salt.tikicdn.com/cache/200x200/ts/product/c8/e9/5d/1161765e0de5a5455dd39949ab4a7803.png,4.8,,True,False,True,27,False,False,False,,False
2852,Lò Nướng Điện Đa Năng Comet CM6518 28L - Hàng Chính Hãng,975000,https://tiki.vn/lo-nuong-dien-da-nang-comet-cm6518-28l-ha-ng-chi-nh-ha-ng-p68578008.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.68578009&itm_medium=CPC&itm_source=tiki-reco&spid=68578009,https://salt.tikicdn.com/cache/200x200/ts/product/29/6a/fa/23049c667cef71621b70582fb11cad6f.jpg,4.5,101,True,False,True,1,False,False,False,,False
2853,Máy Xay Sinh Tố Cầm Tay Chigo ZGJ605 - Hàng Chính Hãng,529000,https://tiki.vn/may-xay-sinh-to-cam-tay-chigo-zgj605-hang-chinh-hang-p72334379.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.72334383&itm_medium=CPC&itm_source=tiki-reco&spid=72334383,https://salt.tikicdn.com/cache/200x200/ts/product/68/7e/04/b2948b7448c224ac6280fb67333cffa2.jpg,4.6000000000000005,128,True,False,True,9,False,False,False,,False
2854,Máy Lọc Nước R.O 9 Lõi Sunhouse SHA8879K - Hàng Chính Hãng,4156900,https://tiki.vn/may-loc-nuoc-r-o-9-lo-i-sunhouse-sha8879k-hang-chinh-hang-p35472922.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.35472923&itm_medium=CPC&itm_source=tiki-reco&spid=35472923,https://salt.tikicdn.com/cache/200x200/ts/product/42/63/17/9eb7c79a4e0aeff5747e082fd663ff28.png,4.3,,True,False,True,26,True,False,False,,No
2855,Máy Hút Chân Không Thực Phẩm Kèm Hàn Miệng Túi Vacuum Sealer ( tặng 10 túi hút ),195000,https://tiki.vn/may-hut-chan-khong-thuc-pham-kem-han-mieng-tui-vacuum-sealer-tang-10-tui-hut-p125806240.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.133721718&itm_medium=CPC&itm_source=tiki-reco&spid=133721718,https://salt.tikicdn.com/cache/200x200/ts/product/61/83/6c/c46b8c5ebee26f3cff893923f672199a.jpg,4.5,,True,True,False,0,False,False,False,,False
2856,MÁY PHUN SƯƠNG MINI CHO NHÂN VIÊN VĂN PHÒNG,40899,https://tiki.vn/ma-y-phun-suong-mini-cho-nhan-vien-van-pho-ng-p25936511.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.54858590&itm_medium=CPC&itm_source=tiki-reco&spid=54858590,https://salt.tikicdn.com/cache/200x200/ts/product/eb/40/2b/7e1f89b10e9edbf3da2a8ae378df8d9a.jpg,4.1,670,True,True,False,0,False,False,False,,False
2857,"Quạt mini cầm tay để bàn xoay 360 độ Bamboo Life hàng chính hãng Quạt sạc USB đa năng dùng để kẹp nôi, kẹp xe đẩy cho bé, cầm tay, để bàn văn phòng, kẹp xe ô tô",199000,https://tiki.vn/quat-mini-cam-tay-de-ban-xoay-360-do-bamboo-life-hang-chinh-hang-quat-sac-usb-da-nang-dung-de-kep-noi-kep-xe-day-cho-be-cam-tay-de-ban-van-phong-kep-xe-o-to-p91023317.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.91023319&itm_medium=CPC&itm_source=tiki-reco&spid=91023319,https://salt.tikicdn.com/cache/200x200/ts/product/ee/61/98/856fa3a7e4f00801c44ddb03eda13e46.jpg,4.6000000000000005,489,True,False,False,0,False,False,False,,False
2858,Máy Lọc Nước RO Không Vỏ Tủ Kangaroo KG109A 9 Lõi - Hàng Chính Hãng,4199000,https://tiki.vn/may-loc-nuoc-ro-khong-vo-tu-kangaroo-kg109a-9-loi-hang-chinh-hang-p29168708.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.29168709&itm_medium=CPC&itm_source=tiki-reco&spid=29168709,https://salt.tikicdn.com/cache/200x200/ts/product/66/c2/87/3e42cff7e6c036a5f9d8b26912b2aa57.jpg,4.6000000000000005,,True,False,True,34,True,False,False,,No
2859,"Bộ điếu inox, sen đồng. Sử dụng cho các dòng bếp kính, inox phổ thông - Hàng chính hãng",115000,https://tiki.vn/bo-dieu-inox-sen-dong-su-dung-cho-cac-dong-bep-kinh-inox-pho-thong-hang-chinh-hang-p13116577.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.13116578&itm_medium=CPC&itm_source=tiki-reco&spid=13116578,https://salt.tikicdn.com/cache/200x200/ts/product/f6/85/c8/a25c6e2e6c98d4e023ca00e23ee18baf.jpg,4.5,,True,False,True,0,False,False,False,,False
2860,Quạt Điện Đứng 7 cánh Senko LTS1636 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,413000,https://tiki.vn/quat-dien-dung-7-canh-senko-lts1636-giao-mau-ngau-nhien-hang-chinh-hang-p2498045.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.55363537&itm_medium=CPC&itm_source=tiki-reco&spid=55363537,https://salt.tikicdn.com/cache/200x200/ts/product/42/d2/a8/b3ae35e8afc253a81720dc71b9bb75d6.jpg,4.699999999999999,248,True,False,False,0,False,False,False,,False
2861,Máy Sấy Quần Áo TIROSS TS880 - Hàng Chính Hãng,1288900,https://tiki.vn/may-say-quan-ao-tiross-ts880-hang-chinh-hang-p405170.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.107482&itm_medium=CPC&itm_source=tiki-reco&spid=107482,https://salt.tikicdn.com/cache/200x200/media/catalog/product/v/p/vptiross2.jpg,4.6000000000000005,754,True,False,False,17,False,False,False,,False
2862,Máy Ép Trái Cây BlueStone JEB-6519 (250W) - Hàng chính hãng,843000,https://tiki.vn/may-ep-trai-cay-bluestone-jeb-6519-250w-hang-chinh-hang-p422016.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.125776&itm_medium=CPC&itm_source=tiki-reco&spid=125776,https://salt.tikicdn.com/cache/200x200/media/catalog/producttmp/bb/f5/c2/f75a3154d35e87d633cc3c4913e0817e.jpg,4.2,,True,False,False,30,False,False,False,,False
2863,Máy làm sữa hạt xay nấu UNIE V8S dung tích 1.75L công suất 1800W - Hàng chính hãng,2569000,https://tiki.vn/may-lam-sua-hat-xay-nau-unie-v8s-dung-tich-1-75l-cong-suat-1800w-hang-chinh-hang-p137543567.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.137543568&itm_medium=CPC&itm_source=tiki-reco&spid=137543568,https://salt.tikicdn.com/cache/200x200/ts/product/fc/1c/4b/a68d6f240d0e33ddfc20be8d2f68c471.jpg,4.5,,True,False,False,30,False,False,False,,False
2864,Nồi hấp điện MIDEA MZ-ZG26Easy401 3 ngăn hấp dung tích 10 lít - Hàng chính hãng,1275000,https://tiki.vn/noi-hap-dien-midea-mz-zg26easy401-3-ngan-hap-dung-tich-10-lit-hang-chinh-hang-p93862547.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.93862548&itm_medium=CPC&itm_source=tiki-reco&spid=93862548,https://salt.tikicdn.com/cache/200x200/ts/product/a8/d5/6d/8c5c9fcdf1659930ea432103c85d7f0e.jpg,4.5,145,True,False,True,0,False,False,False,,False
2865,Máy Xay Thực Phẩm (3 Cối) LOTOR HC-302D - Hàng Chính Hãng,529000,https://tiki.vn/may-xay-thuc-pham-3-coi-lotor-hc-302d-hang-chinh-hang-p93013668.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.93013669&itm_medium=CPC&itm_source=tiki-reco&spid=93013669,https://salt.tikicdn.com/cache/200x200/ts/product/e2/3f/8d/137320df1a43e8d21c882e252bfd4cc2.jpg,4.6000000000000005,37,True,False,False,10,False,False,False,,False
2866,Nồi Chiên Không Dầu Điện Tử Lock&amp;Lock EJF286BLK 6.5L - Hàng chính hãng,2690000,https://tiki.vn/noi-chien-khong-dau-dien-tu-lock-lock-ejf286blk-6-5l-hang-chinh-hang-p65317638.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.65317639&itm_medium=CPC&itm_source=tiki-reco&spid=65317639,https://salt.tikicdn.com/cache/200x200/ts/product/5c/a9/df/d8d8c471da0c21be60a68d7db2a822d9.png,4.699999999999999,,True,False,True,47,False,False,False,,False
2867,Bình Đun Siêu Tốc Bluestone KTB-3468 (1.7L) - Hàng chính hãng,833000,https://tiki.vn/binh-dun-sieu-toc-bluestone-ktb-3468-1-7l-hang-chinh-hang-p10395949.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.10395950&itm_medium=CPC&itm_source=tiki-reco&spid=10395950,https://salt.tikicdn.com/cache/200x200/ts/product/9e/fc/9c/40f8dd8a67140f22ba12a1cd79882fe7.jpg,4.8,,True,False,False,17,False,False,False,,False
2868,NỒI CHIÊN KHÔNG DẦU COSORI CO158- AF/5.5L- HÀNG CHÍNH HÃNG,1872000,https://tiki.vn/noi-chien-khong-dau-cosori-co158-af-5-5l-hang-chinh-hang-p63104279.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.63104280&itm_medium=CPC&itm_source=tiki-reco&spid=63104280,https://salt.tikicdn.com/cache/200x200/ts/product/05/eb/2f/8c8a567e31a93412c9edb8001596891f.jpg,4.699999999999999,97,True,False,False,53,False,False,False,,False
